article_title,country,revision_id,article_quality,population,region
Marcos Alexandre Nhunga,Angola,1209413818,Stub,36.7,MIDDLE AFRICA
Maria Cândida Pereira Teixeira,Angola,1218506469,Stub,36.7,MIDDLE AFRICA
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,Angola,1209513699,Stub,36.7,MIDDLE AFRICA
David Mendes,Angola,1024544204,Stub,36.7,MIDDLE AFRICA
Saíde Mingas,Angola,1242306726,GA,36.7,MIDDLE AFRICA
Fernando Faustino Muteka,Angola,1241977176,Stub,36.7,MIDDLE AFRICA
Pedro Mutinde,Angola,1209539718,Start,36.7,MIDDLE AFRICA
José Ndele,Angola,1154991360,Stub,36.7,MIDDLE AFRICA
Ana Paula Sacramento Neto,Angola,1227909121,Stub,36.7,MIDDLE AFRICA
Daniel Ntongi-Nzinga,Angola,1187961349,Stub,36.7,MIDDLE AFRICA
Paula Cristina Francisco Coelho,Angola,1209410923,Stub,36.7,MIDDLE AFRICA
Pedro Pedalé,Angola,1115715527,Stub,36.7,MIDDLE AFRICA
Elias Salupeto Pena,Angola,1220287990,Start,36.7,MIDDLE AFRICA
Johnny Eduardo Pinnock,Angola,1242307359,Stub,36.7,MIDDLE AFRICA
Santana André Pitra,Angola,1165626399,Stub,36.7,MIDDLE AFRICA
Francisco Manuel Monteiro de Queiróz,Angola,1250824530,Stub,36.7,MIDDLE AFRICA
José Aníbal Lopes Rocha,Angola,1242307479,Stub,36.7,MIDDLE AFRICA
José da Rocha,Angola,1153488959,Stub,36.7,MIDDLE AFRICA
Rosa Luís de Sousa Micolo,Angola,1246271741,Stub,36.7,MIDDLE AFRICA
Luís Gomes Sambo,Angola,1242306989,Start,36.7,MIDDLE AFRICA
Branca Manuel Espirito Santo,Angola,1142474441,Stub,36.7,MIDDLE AFRICA
João Ernesto dos Santos,Angola,1226309621,Stub,36.7,MIDDLE AFRICA
José Filomeno dos Santos,Angola,1228399791,C,36.7,MIDDLE AFRICA
Jonas Savimbi,Angola,1246026420,GA,36.7,MIDDLE AFRICA
Pinda Simão,Angola,1118804168,Stub,36.7,MIDDLE AFRICA
Manuel Bernardo de Sousa,Angola,1233607984,Stub,36.7,MIDDLE AFRICA
Augusto da Silva Tomás,Angola,1219179734,Stub,36.7,MIDDLE AFRICA
José Jacinto Van-Dúnem,Angola,1242841039,C,36.7,MIDDLE AFRICA
